Episode;Timeslot;State;Action;Reward;Next_State;Average Packet Delay
1;85;8;158.22883404301245;0.7584711896498559;9;6.975
1;86;9;157.58145107591528;0.7504208483849001;10;6.829268292682927
1;87;10;156.18365259957582;0.748043392352003;9;7.414634146341464
1;88;9;158.98279947594125;0.7438276077218798;8;8.0
1;89;8;157.5755668091659;0.7615599040562957;8;8.214285714285714
1;90;8;156.45820537161956;0.7669133036811868;7;8.571428571428571
1;91;7;158.8759111477938;0.7693263546799514;8;8.395348837209303
1;92;8;158.9737244908393;0.7549810371272243;8;8.568181818181818
1;93;8;159.39116539733544;0.7530394484737113;7;8.931818181818182
1;94;7;159.17162137575224;0.7679481955791165;6;9.25
1;95;6;158.93195838486233;0.7869218941902514;7;9.066666666666666
1;96;7;160.73991246732706;0.7607259216076903;7;9.088888888888889
1;97;7;160.4061090359436;0.762250772737851;7;9.11111111111111
1;98;7;158.5785086703792;0.7707175926483425;6;9.444444444444445
1;99;6;156.38160130021222;0.7990302520960344;5;9.777777777777779
1;100;5;154.1314977555852;0.8340803079349847;6;9.58695652173913
1;101;6;154.13418438601977;0.8102568427815608;5;9.934782608695652
1;102;5;153.66643801608598;0.8365178589806687;5;9.956521739130435
1;103;5;153.56717342059613;0.8370446958843643;5;9.978260869565217
1;104;5;153.76458057386463;0.8359993109033582;6;9.787234042553191
1;105;6;153.6572486488358;0.8127570062845653;5;10.148936170212766
1;106;5;153.25442713812646;0.8387206925340666;4;10.48936170212766
1;107;4;155.0657872989719;0.8626509607684218;4;10.51063829787234
1;108;4;156.88490278799225;0.85374599802272;3;10.872340425531915
1;109;3;156.58313653609983;0.9051984766302633;3;10.958333333333334
1;110;3;155.2851376243736;0.9115548819038821;4;10.755102040816327
1;111;4;156.37610653445745;0.8561997369476955;4;10.78
1;112;4;156.55006780505704;0.8553581357858631;5;10.588235294117647
1;113;5;156.68883846742395;0.8213554693170841;5;10.607843137254902
1;114;5;155.9817577348918;0.8247856248638316;6;10.423076923076923
1;115;6;155.41219353577358;0.8037804568135329;5;10.653846153846153
1;116;5;157.05714782321007;0.8195870160308468;5;10.673076923076923
1;117;5;157.18984778968624;0.8189525044609264;4;10.846153846153847
1;118;4;157.41727284116553;0.8512014223787694;5;10.660377358490566
1;119;5;156.4407072298917;0.82255353499364;4;10.849056603773585
1;120;4;157.30734371147403;0.851725123694764;4;10.833333333333334
1;121;4;156.22329897456626;0.8569414637701442;5;10.654545454545454
1;122;5;156.9909252327125;0.8199041710454905;5;10.672727272727272
1;123;5;157.27019672427585;0.8185689540083116;5;10.690909090909091
1;124;5;156.9847463942332;0.8199337805465872;4;10.927272727272728
1;125;4;157.11902077107652;0.852624333882634;5;10.75
1;126;5;156.38385192368298;0.8228288702148007;5;10.789473684210526
1;127;5;155.4936445503989;0.8271863227289109;4;10.964912280701755
1;128;4;156.94377263278315;0.853463540640276;4;10.982456140350877
1;129;4;156.88137847309315;0.8537629166634828;4;11.0
1;130;4;158.58672177890432;0.8456791018600018;5;10.827586206896552
1;131;5;158.1732565327774;0.8142884814501722;5;10.844827586206897
1;132;5;157.08715337451218;0.8194434252583727;5;10.862068965517242
1;133;5;156.68030657955512;0.8213965713823641;5;10.879310344827585
